"","y1","y2","y3","conc","ABS","smp","Tests"
"162","0.9772203","0.9008506","0.9374827",NA,"1.639","LEU F","Aug11"
"163","0.8281430","0.7634237","0.7944675",NA,"1.580","LEU R","Aug11"
"164","1.0175894","0.9380649","0.9762102",NA,"1.770","KI F","Aug11"
"165","0.8742791","0.8059543","0.8387275",NA,"1.574","KI R","Aug11"
"166","0.9682814","0.8926103","0.9289073",NA,"1.695","CP F","Aug11"
"167","0.5467128","0.5039872","0.5244813",NA,"0.970","CP R","Aug11"
"168","0.9132065","0.8418394","0.8760719",NA,"1.639","MH F","Aug11"
"169","0.8765859","0.8080808","0.8409405",NA,"1.547","MH R","Aug11"
"170","0.8370819","0.7716640","0.8030429",NA,"1.526","Ver R","Aug11"
"171","0.8895617","0.8200425","0.8533887",NA,"1.743","Ver F","Aug11"
"172","0.9287774","0.8561935","0.8910097",NA,"1.596","PIB F F/T","Aug11"
"173","0.9752018","0.8989899","0.9355463",NA,"1.419","LEU F F/T","Aug11"
"174","0.9178201","0.8460925","0.8804979",NA,"1.825","KI F F/T","Aug11"
"175","0.8480392","0.7817650","0.8135546",NA,"0.670","CP F F/T","Aug11"
"176","0.9916378","0.9141414","0.9513140",NA,"0.875","MH F F/T","Aug11"
"177","0.8765859","0.8080808","0.8409405",NA,"1.493","MH R","Aug11"
"178","0.8370819","0.7716640","0.8030429",NA,"1.695","Ver R","Aug11"
"179","0.8895617","0.8200425","0.8533887",NA,"1.639","Ver F","Aug11"
"180","0.9287774","0.8561935","0.8910097",NA,"1.587","PIB F F/T","Aug11"
"181","0.9752018","0.8989899","0.9355463",NA,"1.522","LEU F F/T","Aug11"
"182","0.9178201","0.8460925","0.8804979",NA,"1.614","KI F F/T","Aug11"
"183","0.8480392","0.7817650","0.8135546",NA,"0.725","CP F F/T","Aug11"
"184","0.9916378","0.9141414","0.9513140",NA,"0.856","MH F F/T","Aug11"
"185","0.4022491","0.3708134","0.3858921",NA,"0.915","PIB F Spike","Aug11"
"186","0.4991349","0.4601276","0.4788382",NA,"0.856","PIB F F/T spike","Aug11"
"187","0.5314302","0.4898990","0.5098202",NA,"0.882","LEU F Spike","Aug11"
"188","0.4832757","0.4455077","0.4636238",NA,"0.844","LEU F F/T Spike","Aug11"
"189","0.4858708","0.4479001","0.4661134",NA,"0.784","KI F Spike","Aug11"
"190","0.5020185","0.4627858","0.4816044",NA,"0.710","KI F F/T Spike","Aug11"
"191","0.4688581","0.4322169","0.4497925",NA,"0.930","CP F Spike","Aug11"
"192","0.4192618","0.3864965","0.4022130",NA,"0.797","CP F F/T Spike","Aug11"
"193","0.4022491","0.3708134","0.3858921",NA,"0.928","PIB F Spike","Aug11"
"194","0.4991349","0.4601276","0.4788382",NA,"0.820","PIB F F/T spike","Aug11"
"195","0.5314302","0.4898990","0.5098202",NA,"0.803","LEU F Spike","Aug11"
"196","0.4832757","0.4455077","0.4636238",NA,"0.897","LEU F F/T Spike","Aug11"
"197","0.4858708","0.4479001","0.4661134",NA,"0.842","KI F Spike","Aug11"
"198","0.5020185","0.4627858","0.4816044",NA,"0.744","KI F F/T Spike","Aug11"
"199","0.4688581","0.4322169","0.4497925",NA,"0.919","CP F Spike","Aug11"
"200","0.4192618","0.3864965","0.4022130",NA,"0.721","CP F F/T Spike","Aug11"
"201","0.5331603","0.4914939","0.5114799",NA,"0.894","MH F Spike","Aug11"
"202","0.4377163","0.4035088","0.4199170",NA,"0.538","MH F F/T Spike","Aug11"
"203","0.4979815","0.4590643","0.4777317",NA,"0.279","SL 85","Aug11"
"204","0.3168973","0.2921318","0.3040111",NA,"0.845","SL 86","Aug11"
"205","0.1776240","0.1637427","0.1704011",NA,"0.673","SL 87","Aug11"
"206","0.4535755","0.4181287","0.4351314",NA,"1.215","SL 86 Filtered","Aug11"
"207","0.3757209","0.3463583","0.3604426",NA,"1.498","SL 87 Filtered","Aug11"
"208","0.7324106","0.6751728","0.7026279",NA,"0.640","CC 25","Aug11"
"209","0.5331603","0.4914939","0.5114799",NA,"0.833","MH F Spike","Aug11"
"210","0.4377163","0.4035088","0.4199170",NA,"0.561","MH F F/T Spike","Aug11"
"211","0.4979815","0.4590643","0.4777317",NA,"0.337","SL 85","Aug11"
"212","0.3168973","0.2921318","0.3040111",NA,"0.728","SL 86","Aug11"
"213","0.1776240","0.1637427","0.1704011",NA,"0.630","SL 87","Aug11"
"214","0.4535755","0.4181287","0.4351314",NA,"1.325","SL 86 Filtered","Aug11"
"215","0.3757209","0.3463583","0.3604426",NA,"1.448","SL 87 Filtered","Aug11"
"216","0.7324106","0.6751728","0.7026279",NA,"0.697","CC 25","Aug11"
"217","0.8494810","0.7830941","0.8149378",NA,"1.613","CC 28","Aug11"
"218","0.3855248","0.3553961","0.3698479",NA,"1.039","CC 29","Aug11"
"219","0.9313725","0.8585859","0.8934993",NA,"0.648","CC 30","Aug11"
"220","0.6487889","0.5980861","0.6224066",NA,"0.843","CC 31","Aug11"
"221","0.3604383","0.3322701","0.3457815",NA,"0.257","CC 32","Aug11"
"222","0.4858708","0.4479001","0.4661134",NA,"1.256","CC 33","Aug11"
"223","0.1649366","0.1520468","0.1582296",NA,"1.502","CC 34","Aug11"
"224","0.7332757","0.6759702","0.7034578",NA,"1.416","CC 35","Aug11"
"225","0.8494810","0.7830941","0.8149378",NA,"1.617","CC 28","Aug11"
"226","0.3855248","0.3553961","0.3698479",NA,"1.211","CC 29","Aug11"
"227","0.9313725","0.8585859","0.8934993",NA,"0.602","CC 30","Aug11"
"228","0.6487889","0.5980861","0.6224066",NA,"0.842","CC 31","Aug11"
"229","0.3604383","0.3322701","0.3457815",NA,"0.315","CC 32","Aug11"
"230","0.4858708","0.4479001","0.4661134",NA,"1.287","CC 33","Aug11"
"231","0.1649366","0.1520468","0.1582296",NA,"1.583","CC 34","Aug11"
"232","0.7332757","0.6759702","0.7034578",NA,"1.487","CC 35","Aug11"
"233","0.24546397","0.2577572","0.2514604","5.00","0.474","Standard 5","Aug18"
"234","0.41446345","0.4352205","0.4245884","2.00","0.711","Standard 4","Aug18"
"235","0.49274235","0.5174197","0.5047796","1.00","0.954","Standard 3","Aug18"
"236","0.63089684","0.6624932","0.6463091","0.40","1.199","Standard 2","Aug18"
"237","0.87998963","0.9240610","0.9014870","0.15","1.657","Standard 1","Aug18"
"238","0.97615345","1.0250408","1.0000000","0.00","1.929","Standard 0","Aug18"
